상호,주소,상권업종대분류명,상권업종중분류명,상권업종소분류명,경도,위도,도로명주소,지정일자,지정등급
백돈 구의점,서울특별시 광진구 아차산로41길 22 (자양동) 1층,음식,일식,일식 회/초밥,127.078661973051,37.5385463209305,서울특별시 광진구 아차산로41 길 22,2024-09-12,매우우수
백소정,서울특별시 광진구 천호대로129길 7 (중곡동) 2층,음식,일식,일식 회/초밥,127.090010269771,37.5526006265353,서울특별시 광진구 천호대로129 길 7,2025-01-14,매우우수
백억커피건대 로데오점,서울특별시 광진구 동일로20길 82 (자양동) 1층,음식,비알코올 ,카페,127.067984025362,37.5400573890668,서울특별시 광진구 동일로20 길 82,2024-07-25,매우우수
비케이알버거킹 아차산역점,서울특별시 광진구 천호대로 661 (구의동) 1층,음식,기타 간이,버거,127.090096714752,37.5520065988974,서울특별시 광진구 천호대로 661,2023-07-27,매우우수
버거킹건대입구역점,서울특별시 광진구 아차산로 229 (화양동) 1층,음식,기타 간이,버거,127.068993148522,37.5408042117968,서울특별시 광진구 아차산로 229,2024-07-11,매우우수
버거킹 구의점,서울특별시 광진구 아차산로 466 (구의동) 1층,음식,기타 간이,버거,127.093878052894,37.5397453224247,서울특별시 광진구 아차산로 466,2024-03-23,매우우수
버거킹군자비케이알 능동점,서울특별시 광진구 능동로 245 (군자동) 1층,음식,기타 간이,버거,127.07652435642,37.552225605214,서울특별시 광진구 능동로 245,2024-07-05,매우우수
베스킨라빈스,서울특별시 광진구 천호대로 659 (구의동) 1층,음식,기타 간이,아이스크림/빙수,127.089912146156,37.5522935128352,서울특별시 광진구 천호대로 659,2024-05-08,우수
베스킨라빈스,서울특별시 광진구 뚝섬로 552 (자양동),음식,기타 간이,아이스크림/빙수,127.071257785585,37.5342984266508,서울특별시 광진구 뚝섬로 552,2024-05-14,매우우수
베스킨라빈스건대역점,서울특별시 광진구 능동로 115 (화양동) 1층,음식,기타 간이,아이스크림/빙수,127.071011990317,37.5413427214359,서울특별시 광진구 능동로 115,2023-10-06,매우우수
베스킨라빈스광장현대점,서울특별시 광진구 아차산로 494 (광장동),음식,기타 간이,아이스크림/빙수,127.096667440005,37.5411453051848,서울특별시 광진구 아차산로 494,2024-06-30,우수
베스킨라빈스,서울특별시 광진구 아차산로 375 (구의동) 1층,음식,기타 간이,아이스크림/빙수,127.084349088885,37.5370677758761,서울특별시 광진구 아차산로 375,2023-09-10,매우우수
베스킨라빈스군자점,서울특별시 광진구 천호대로 548 (군자동),음식,기타 간이,아이스크림/빙수,127.079012895356,37.5569305034381,서울특별시 광진구 천호대로 548,2023-10-06,매우우수
벤티프레소,서울특별시 광진구 용마산로 52 (중곡동) 1층,음식,비알코올 ,카페,127.087993889487,37.5583247617766,서울특별시 광진구 용마산로 52,2023-03-09,우수
비에이치씨 구의점,서울특별시 광진구 구의로 40 (구의동) 1층,음식,기타 간이,치킨,127.090033360763,37.5413917168552,서울특별시 광진구 구의로 40,2023-03-09,매우우수
비에이치씨광나루점,서울특별시 광진구 아차산로 503-23 (광장동),음식,기타 간이,치킨,127.095590784994,37.5431554231251,서울특별시 광진구 아차산로 503 23,2023-09-18,우수
비에이치씨치킨,서울특별시 광진구 뚝섬로 676 (자양동),음식,기타 간이,치킨,127.084502713511,37.5319059299717,서울특별시 광진구 뚝섬로 676,2023-07-04,우수
비에이치씨중곡 대박점,서울특별시 광진구 긴고랑로13길 82 (중곡동) 1층,음식,기타 간이,치킨,127.083622019708,37.5659588405598,서울특별시 광진구 긴고랑로13 길 82,2023-04-09,좋음
빕스어린이대공원점,서울특별시 광진구 광나루로 410 (화양동) 2층,음식,서양식,패밀리레스토랑,127.074998556359,37.546564073743,서울특별시 광진구 광나루로 410,2024-07-11,매우우수
빠빠킹롯데스타시티,서울특별시 광진구 능동로 92 (자양동) 10층,음식,기타 간이,김밥/만두/분식,127.07119956705,37.538992451652,서울특별시 광진구 능동로 92,2024-03-02,매우우수
빽다방광진이튼1 차점,서울특별시 광진구 능동로 68 (자양동) 1층,음식,비알코올 ,카페,127.069675688581,37.5368719940904,서울특별시 광진구 능동로 68,2024-06-17,매우우수
빽다방구의,서울특별시 광진구 구의로 6 (구의동) 1층,음식,비알코올 ,카페,127.08933318271,37.5384849282992,서울특별시 광진구 구의로 6,2023-02-10,매우우수
빽다방군자역점,서울특별시 광진구 능동로35길 7 (군자동) 1층,음식,비알코올 ,카페,127.078518935674,37.5566022713432,서울특별시 광진구 능동로35 길 7,2023-10-16,매우우수
빽다방자양전통 시장점,서울특별시 광진구 자양로15길 52 (자양동) 1층,음식,비알코올 ,카페,127.08073704741,37.5354268284088,서울특별시 광진구 자양로15 길 52,2024-01-26,매우우수
스쿨푸드딜리버리,서울특별시 광진구 뚝섬로 665-1 (자양동) 1층,음식,기타 간이,김밥/만두/분식,127.083484951578,37.5318619935546,서울특별시 광진구 뚝섬로 665 1,2024-07-28,매우우수
스텔라떡볶이서울,서울특별시 광진구 뚝섬로43길 13 (자양동) 1층,음식,기타 간이,김밥/만두/분식,127.076856304046,37.5335674179269,서울특별시 광진구 뚝섬로43 길 13,2025-01-26,매우우수
슬로우캘리 구의역점,서울특별시 광진구 아차산로 375 (구의동) 1층,음식,기타 간이,토스트/샌드위치/샐러드,127.08436073353,37.5370408345709,서울특별시 광진구 아차산로 375,2024-09-12,매우우수
