상호,주소,상권업종대분류명,상권업종중분류명,상권업종소분류명,경도,위도,도로명주소
기븐,서울특별시 광진구 자양로28길 40 (구의동) 1층,음식,기타 간이,빵/도넛,127.086293206069,37.5418764359294,서울특별시 광진구 자양로28 길 40
궤도에오르다,서울특별시 광진구 광나루로 416 (화양동) 1층,음식,기타 간이,그 외 기타 간이 음식점,127.075565780456,37.5464513792064,서울특별시 광진구 광나루로 416
왕실탕후루,서울특별시 광진구 아차산로33길 63 (화양동) 1층,음식,기타 간이,빵/도넛,127.070957363523,37.5430092370009,서울특별시 광진구 아차산로33 길 63
에스엠푸드,서울특별시 광진구 자양로13길 19 (자양동) 1층,음식,서양식,경양식,127.082913397139,37.5351103600269,서울특별시 광진구 자양로13 길 19
델리찌,서울특별시 광진구 천호대로111길 44 (중곡동) 1층,음식,서양식,경양식,127.083037768505,37.5582142902507,서울특별시 광진구 천호대로111 길 44
룸의정석 건대점,서울특별시 광진구 아차산로 235 (화양동) 2층,음식,주점,요리 주점,127.069516198297,37.5406010925762,서울특별시 광진구 아차산로 235
반미띠,서울특별시 광진구 군자로 70 (군자동) 1층,음식,동남아시아,베트남식 전문,127.070848385337,37.5490544313962,서울특별시 광진구 군자로 70
올데이파스타,서울특별시 광진구 자양로43길 119 (중곡동) 1층,음식,서양식,파스타/스테이크,127.088930213928,37.5557910283353,서울특별시 광진구 자양로43 길 119
케이티피엘,서울특별시 광진구 긴고랑로 12 (중곡동) 2층,음식,서양식,경양식,127.077525931054,37.5637037958985,서울특별시 광진구 긴고랑로 12
늘조은한우구의 직영점,서울특별시 광진구 아차산로 355 (자양동),음식,한식,소고기 구이/찜,127.082546387004,37.5373601422673,서울특별시 광진구 아차산로 355
뒤안길,서울특별시 광진구 뚝섬로26길 8 (자양동) 1층,음식,한식,백반/한정식,127.064549797451,37.5359755011008,서울특별시 광진구 뚝섬로26 길 8
참이맛감자탕 구의점,서울특별시 광진구 광나루로 508 (구의동) 1층,음식,한식,국/탕/찌개류,127.085952065314,37.5447932053786,서울특별시 광진구 광나루로 508
어반티니핑,서울특별시 광진구 아차산로 453-1 (구의동) 1층,음식,한식,백반/한정식,127.09246635135,37.539518228731,서울특별시 광진구 아차산로 453 1
쿠시노아 세종대점,서울특별시 광진구 군자로 70 (군자동) 1층,음식,한식,백반/한정식,127.070848385337,37.5490544313962,서울특별시 광진구 군자로 70
아차산매운떡볶이 건대점,서울특별시 광진구 아차산로 345 (자양동) 1층,음식,기타 간이,김밥/만두/분식,127.081435607686,37.5375136967709,서울특별시 광진구 아차산로 345
와떠마라탕 건대점,서울특별시 광진구 광나루로 369 (군자동) 1층,음식,중식,마라탕/훠궈,127.07103693168,37.5484522110591,서울특별시 광진구 광나루로 369
도로시파스타연정 건대점,서울특별시 광진구 광나루로 369 (군자동) 1층,음식,서양식,파스타/스테이크,127.07103693168,37.5484522110591,서울특별시 광진구 광나루로 369
빨간여우,서울특별시 광진구 구의로 62 (구의동) 1층,음식,한식,백반/한정식,127.090450887533,37.5433502181194,서울특별시 광진구 구의로 62
메가엠지씨커피중곡 중앙점,서울특별시 광진구 능동로 338-1 (중곡동) 1층,음식,비알코올 ,카페,127.081129739062,37.5596681671849,서울특별시 광진구 능동로 338 1
파머스포케 건대점,서울특별시 광진구 능동로 167 (화양동) 1층,음식,기타 간이,피자,127.072948387391,37.5458001230898,서울특별시 광진구 능동로 167
청년피자구의 직영점,서울특별시 광진구 구의강변로 85 (구의동) 1층,음식,기타 간이,피자,127.093465115163,37.5383365096704,서울특별시 광진구 구의강변로 85
위드미라클,서울특별시 광진구 동일로22길 37 (화양동) 1층,음식,일식,일식 회/초밥,127.066385689664,37.5420991602822,서울특별시 광진구 동일로22 길 37
소문난오백빵건대,서울특별시 광진구 아차산로29길 41 (화양동) 1층,음식,기타 간이,빵/도넛,127.06887876547,37.5427225495244,서울특별시 광진구 아차산로29 길 41
안동꽈배기,서울특별시 광진구 영화사로 39 (중곡동) 1층,음식,기타 간이,빵/도넛,127.091287479566,37.5564669614161,서울특별시 광진구 영화사로 39
자양빵공장,서울특별시 광진구 자양로15길 14 (자양동) 1층,음식,기타 간이,빵/도넛,127.082846786869,37.5359298012356,서울특별시 광진구 자양로15 길 14
투투,서울특별시 광진구 구의로 62 (구의동) 1층,음식,주점,생맥주 전문,127.090450887533,37.5433502181194,서울특별시 광진구 구의로 62
육연가,서울특별시 광진구 면목로 182 (중곡동) 1층,음식,한식,백반/한정식,127.083162707339,37.5692621225376,서울특별시 광진구 면목로 182
컴포즈커피건대스타시티몰점,서울특별시 광진구 능동로 110 (화양동) 2층,음식,비알코올 ,카페,127.071393981254,37.5406519161493,서울특별시 광진구 능동로 110
노모어피자군자점,서울특별시 광진구 능동로 328 (중곡동),음식,기타 간이,피자,127.080619537913,37.5588172086881,서울특별시 광진구 능동로 328
씬짜오,서울특별시 광진구 능동로13길 44 (화양동) 1층,음식,서양식,경양식,127.07010897485,37.5438945998544,서울특별시 광진구 능동로13 길 44
빽다방자양전통 시장점,서울특별시 광진구 자양로15길 52 (자양동) 1층,음식,비알코올 ,카페,127.08073704741,37.5354268284088,서울특별시 광진구 자양로15 길 52
