상호,주소,상권업종대분류명,상권업종중분류명,상권업종소분류명,경도,위도,도로명주소
동대문엽기떡볶이,서울특별시 광진구 자양로 109 (자양동) 1층,음식,기타 간이,김밥/만두/분식,127.083077712509,37.5374003111359,서울특별시 광진구 자양로 109
에그허그,서울특별시 광진구 천호대로143길 8-5 (광장동) 1층,음식,비알코올 ,카페,127.10326249448,37.5460432392924,서울특별시 광진구 천호대로143길 8-5
광진MJ모터스,서울특별시 광진구 자양로 222 (구의동),수리·개인,자동차 수리·세차,자동차 정비소,127.087377361141,37.5466964390975,서울특별시 광진구 자양로 222
유플러스빌건강식품,서울특별시 광진구 뚝섬로 663 (자양동) 1층,소매,식료품 소매,건강보조식품 소매업,127.083146874342,37.5317512428549,서울특별시 광진구 뚝섬로 663
버드뷰커뮤니케이션,서울특별시 광진구 아차산로78길 72 (광장동),과학·기술,광고,광고물 설계/제작업,127.110408308239,37.5513324090047,서울특별시 광진구 아차산로78길 72
파인드민,서울특별시 광진구 능동로3길 77 (자양동),과학·기술,전문 디자인,시각 디자인업,127.063188885181,37.5344149032984,서울특별시 광진구 능동로3길 77
케이더블유이노베이션,서울특별시 광진구 군자로 149 (군자동),시설관리·임대,가정용품 대여,만화방,127.075655673146,37.554750758779,서울특별시 광진구 군자로 149
지금이밤,서울특별시 광진구 능동로 27 (자양동) 2층,음식,주점,요리 주점,127.067517893737,37.533872491831,서울특별시 광진구 능동로 27
릴앤뷰티,서울특별시 광진구 능동로53길 28 (중곡동) 1층,수리·개인,이용·미용,피부 관리실,127.082942409106,37.5669176855146,서울특별시 광진구 능동로53길 28
동방생고기,서울특별시 광진구 아차산로31길 28 (화양동) 2층,음식,한식,돼지고기 구이/찜,127.06987044204,37.5421446815925,서울특별시 광진구 아차산로31길 28
히트노래연습장,서울특별시 광진구 자양로43길 42 (구의동),예술·스포츠,유원지·오락,노래방,127.090429747256,37.5525407851166,서울특별시 광진구 자양로43길 42
성수탑공인중개사사무소,서울특별시 광진구 뚝섬로24길 3 (자양동) 1층,부동산,부동산 서비스,부동산 중개/대리업,127.063742792137,37.5362664528257,서울특별시 광진구 뚝섬로24길 3
약손명가에스테틱,서울특별시 광진구 아차산로 229 (화양동) 4층,수리·개인,이용·미용,피부 관리실,127.06899348461,37.5407771828983,서울특별시 광진구 아차산로 229
온더코너,서울특별시 광진구 아차산로21길 44 (화양동) 1층,음식,비알코올 ,카페,127.065911850635,37.5437983995317,서울특별시 광진구 아차산로21길 44
내가닭도리탕이다,서울특별시 광진구 뚝섬로55길 10 (자양동) 1층,음식,한식,백반/한정식,127.082533526006,37.5319447112834,서울특별시 광진구 뚝섬로55길 10
수심,서울특별시 광진구 면목로 33-4 (군자동) 1층,음식,일식,일식 회/초밥,127.076212782362,37.557296079383,서울특별시 광진구 면목로 33-4
에스게러지,서울특별시 광진구 자양로28길 95 (구의동) 1층,소매,자동차 부품 소매,자동차 부품 소매업,127.08960022066,37.5416496836048,서울특별시 광진구 자양로28길 95
어라운드스터디카페,서울특별시 광진구 뚝섬로 665 (자양동) 지층,예술·스포츠,도서관·사적지,독서실/스터디 카페,127.083338870334,37.5317797649063,서울특별시 광진구 뚝섬로 665
박과장의조은회사,서울특별시 광진구 아차산로 345 (자양동) 1층,음식,일식,일식 회/초밥,127.081435607686,37.5375136967709,서울특별시 광진구 아차산로 345
골프원정대행복투어,서울특별시 광진구 능동로 275-1 (군자동),시설관리·임대,여행사·보조,기타 여행 보조/예약 서비스업,127.077761596664,37.5546861322398,서울특별시 광진구 능동로 275-1
그리네,서울특별시 광진구 동일로22길 117-7 (화양동) 2층,음식,기타 간이,빵/도넛,127.070541132783,37.5409876060587,서울특별시 광진구 동일로22길 117-7
래빗홀버거컴퍼니,서울특별시 광진구 광나루로 424 (화양동),음식,기타 간이,버거,127.076510194155,37.5460352750599,서울특별시 광진구 광나루로 424
대공원사진관,서울특별시 광진구 능동로34길 123 (능동),과학·기술,사진 촬영,사진촬영업,127.085802602286,37.5533250058016,서울특별시 광진구 능동로34길 123
즐거운,서울특별시 광진구 동일로18길 70 (자양동),예술·스포츠,유원지·오락,노래방,127.06654017404,37.5387845120803,서울특별시 광진구 동일로18길 70
담율노동법률컨설팅,서울특별시 광진구 아차산로 378 (자양동) 3층,과학·기술,법무관련 ,공인노무사,127.084717748951,37.53653000189,서울특별시 광진구 아차산로 378
서다스터디카페,서울특별시 광진구 뚝섬로 672 (자양동) 2층,예술·스포츠,도서관·사적지,독서실/스터디 카페,127.084176498696,37.5317502214728,서울특별시 광진구 뚝섬로 672
