지정기관,지정일자,지정등급,업소명,영업자명,소재지(도로명),업종명,법정동명(식품영업대장)
식품의약품안전처,2023-05-14,매우우수,투썸플레이스,박*식,"서울특별시 광진구 아차산로 537-17(광장동, 광장 힐스테이트 단지내 상가 S동1층13호)",일반음식점,광장동 
식품의약품안전처,2023-10-16,매우우수,투썸플레이스 강변씨지브이,허*회,서울특별시 광진구 광나루로56길 85(10층 구의동),휴게음식점,구의동 
식품의약품안전처,2025-01-27,매우우수,투썸플레이스 중곡대원외고점,이*현 외 1명,서울특별시 광진구 용마산로 113(도원빌딩 1~2층 중곡동),휴게음식점,중곡동 
식품의약품안전처,2023-07-04,매우우수,투썸플레이스(A TWOSOME PLACE)구의역점,이*현,"서울특별시 광진구 자양로 116(1층 102,103,103-1,105,106,107,108호 구의동, 웰츠타워)",휴게음식점,구의동 
식품의약품안전처,2023-09-01,매우우수,투썸플레이스강변역점,이*옥,"서울특별시 광진구 구의강변로 53(지하1~1층 B101,101호 구의동, 옥산그린타워)",휴게음식점,구의동 
식품의약품안전처,2024-10-23,매우우수,투썸플레이스건대입구점,이*나,"서울특별시 광진구 능동로13길 5(1,2층 화양동)",휴게음식점,화양동
식품의약품안전처,2024-07-11,매우우수,티블랙,조*섭,서울특별시 광진구 능동로 92(롯데백화점 10층 자양동),휴게음식점,자양동 
식품의약품안전처,2024-07-29,매우우수,티지아이프라이데이,윤*예 외 1명,서울특별시 광진구 능동로 92(롯데백화점 9층 자양동),일반음식점,자양동
식품의약품안전처,2024-07-01,매우우수,파리바게뜨화양시장점,김*영,서울특별시 광진구 군자로 70(1층 군자동),제과점영업,군자동 
식품의약품안전처,2024-03-14,매우우수,파파벨리 피자,김*헌,"서울특별시 광진구 능동로 92(자양동, 건대스타시티점 지하1층)",휴게음식점,자양동 
식품의약품안전처,2023-09-10,매우우수,파파존스피자 건대점,김*주,서울특별시 광진구 아차산로 289(자양동),일반음식점,자양동 
식품의약품안전처,2024-03-19,매우우수,팔각도 건대점,오*연 외 1명,서울특별시 광진구 아차산로 221(1층 화양동),일반음식점,화양동
식품의약품안전처,2023-05-25,매우우수,팔자좀피자,우*균,서울특별시 광진구 뚝섬로 509-1(1층 101호 자양동),일반음식점,자양동 
식품의약품안전처,2024-03-04,매우우수,퍼부어 건대점,정*균,서울특별시 광진구 능동로 92(롯데백화점 지하1층 자양동),일반음식점,자양동
식품의약품안전처,2023-09-01,매우우수,푸라닭 화양점,임*정,서울특별시 광진구 동일로30길 51(1층 화양동),일반음식점,화양동 
식품의약품안전처,2024-06-26,매우우수,푸라닭광장점,이*호,서울특별시 광진구 광나루로 635(광장현대3단지아파트 상가동 106호 광장동),일반음식점,광장동 
식품의약품안전처,2024-07-29,매우우수,푸라닭자양점,박*언,"서울특별시 광진구 아차산로 345(1층 113호 자양동, 래미안프리미어팰리스)",일반음식점,자양동 
식품의약품안전처,2024-04-18,매우우수,푸라닭중곡점,최*희,서울특별시 광진구 능동로 388(1층 중곡동),일반음식점,중곡동 
식품의약품안전처,2023-11-13,우수,플러스82 건대점,허*영,서울특별시 광진구 동일로30길 16(1층 101호 화양동),일반음식점,화양동 
식품의약품안전처,2025-01-24,우수,하이디라오코리아(유)건대,스***,서울특별시 광진구 능동로 110(스타시티영존빌딩 1층 102호 2층 전부호 화양동),일반음식점,화양동
식품의약품안전처,2023-05-23,매우우수,하이오커피 군자역점,신*미 외 1명,서울특별시 광진구 천호대로 576(1층 능동),휴게음식점,능동 
식품의약품안전처,2024-04-23,매우우수,한가람,임*자,서울특별시 광진구 능동로 92(자양동),일반음식점,자양동
식품의약품안전처,2023-06-07,우수,한결보쌈 건대점,김*지,"서울특별시 광진구 아차산로 345(1층 105호 자양동, 래미안프리미어팰리스)",일반음식점,자양동 
식품의약품안전처,2023-11-29,매우우수,할리스,조* 외 1명,서울특별시 광진구 아차산로 235(화양동),일반음식점,화양동 
식품의약품안전처,2024-04-16,매우우수,할리스광나루역점,이*현,서울특별시 광진구 천호대로 808(제1202동 지하1층 101호 광장동),휴게음식점,광장동 
식품의약품안전처,2023-10-11,우수,호식이두마리치킨구의중앙점,최*휘,서울특별시 광진구 자양로 243(1층 구의동),일반음식점,구의동 
식품의약품안전처,2024-05-14,매우우수,홍대개미롯데백화점스타시티점,김*일 외 1명,서울특별시 광진구 능동로 92(지1층 자양동),일반음식점,자양동 
